"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"TFSC","1347 Capital Corp.","9.73","$57.87M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfsc",
"TFSCR","1347 Capital Corp.","0.35","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscr",
"TFSCU","1347 Capital Corp.","10.1","$42.22M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscu",
"TFSCW","1347 Capital Corp.","0.235","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscw",
"PIH","1347 Property Insurance Holdings, Inc.","7.2","$45.11M","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih",
"FLWS","1-800 FLOWERS.COM, Inc.","9.36","$610.85M","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws",
"FCTY","1st Century Bancshares, Inc","7.79","$80.41M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcty",
"FCCY","1st Constitution Bancorp (NJ)","11.67","$88.07M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","30.03","$951.99M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","19.27","$1.27B","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","34.02","$1.41B","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou",
"DGLD","3X Inverse Gold ETN Velocityshares","76.08","$10.35M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/dgld",
"DSLV","3X Inverse Silver ETN Velocityshares","61.29","$34.75M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/dslv",
"UGLD","3X Long Gold ETN Velocityshares","9.94","$9.8M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ugld",
"USLV","3X Long Silver ETN Velocityshares","14.58","$28.61M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/uslv",
"JOBS","51job, Inc.","25.35","$1.51B","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"SIXD","6D Global Technologies, Inc.","1.47","$115.02M","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/sixd",
"CAFD","8point3 Energy Partners LP","15.52","$1.1B","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd",
"EGHT","8x8 Inc","8.215","$727.83M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","13.95","$311.64M","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","34.05","$997.33M","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"AAON","AAON, Inc.","21.67","$1.18B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"ABAX","ABAXIS, Inc.","47.54","$1.08B","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"ABY","Abengoa Yield plc","19.85","$1.99B","2014","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aby",
"ABGB","Abengoa, S.A.","4.09","$686.93M","2013","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/abgb",
"ABEO","Abeona Therapeutics Inc.","4.83","$157.9M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","2","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeow",
"ABMD","ABIOMED, Inc.","97.08","$4.08B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","1.56","$165.65M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"ACTG","Acacia Research Corporation","8.87","$450.07M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","73.685","$5.28B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","35.65","$3.59B","1985","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad",
"ACST","Acasti Pharma, Inc.","0.3655","$38.97M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","17.93","$801.88M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx",
"XLRN","Acceleron Pharma Inc.","28.36","$937.56M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/xlrn",
"ANCX","Access National Corporation","18.76","$197.34M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx",
"ARAY","Accuray Incorporated","6.58","$519.73M","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray",
"VXDN","AccuShares Spot CBOE VIX Down Shares","7.9","$3.36M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vxdn",
"VXUP","AccuShares Spot CBOE VIX Up Shares","23.51","$9.99M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vxup",
"ACRX","AcelRx Pharmaceuticals, Inc.","4.05","$179.72M","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx",
"ACET","Aceto Corporation","24.41","$710.72M","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/acet",
"AKAO","Achaogen, Inc.","6.89","$124.82M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akao",
"ACHN","Achillion Pharmaceuticals, Inc.","7.86","$1.07B","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","21.89","$2.58B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw",
"ACNB","ACNB Corporation","20.24","$122.05M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","29.9","$1.28B","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/acor",
"ACTS","Actions Semiconductor Co., Ltd.","1.3","$76.01M","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/acts",
"ACPW","Active Power, Inc.","1.76","$40.67M","2000","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/acpw",
"ATVI","Activision Blizzard, Inc","27.22","$19.84B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi",
"ACTA","Actua Corporation","13.89","$566.98M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acta",
"ACUR","Acura Pharmaceuticals, Inc.","0.6182","$36.48M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acur",
"ACXM","Acxiom Corporation","20.13","$1.57B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm",
"ADMS","Adamas Pharmaceuticals, Inc.","20.07","$369.37M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","3.6","$48.35M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/admp",
"ADAP","Adaptimmune Therapeutics plc","12.53","$140.96M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adap",
"ADUS","Addus HomeCare Corporation","29.83","$331.36M","2009","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","2.3001","$23.17M","n/a","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/aey",
"ADEP","Adept Technology, Inc.","6.79","$89.44M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/adep",
"ADMA","ADMA Biologics Inc","9.1316","$97.76M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adma",
"ADBE","Adobe Systems Incorporated","78.87","$39.25B","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe",
"ADTN","ADTRAN, Inc.","15.59","$778.39M","1994","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/adtn",
"ADRO","Aduro Biotech, Inc.","19.44","$1.21B","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adro",
"AEIS","Advanced Energy Industries, Inc.","25.055","$1.03B","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeis",
"AMD","Advanced Micro Devices, Inc.","1.78","$1.39B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd",
"ADXS","Advaxis, Inc.","14.5","$455.25M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxs",
"ADXSW","Advaxis, Inc.","10.13","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxsw",
"MULT","AdvisorShares Sunrise Global Multi-Strategy ETF","24.4801","$2.45M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mult",
"YPRO","AdvisorShares YieldPro ETF","23.25","$33.13M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ypro",
"AEGR","Aegerion Pharmaceuticals, Inc.","18.26","$521.72M","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aegr",
"AEGN","Aegion Corp","18.24","$660.98M","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/aegn",
"AEHR","Aehr Test Systems","2.16","$27.45M","1997","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aehr",
"AMTX","Aemetis, Inc","3.09","$60.17M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/amtx",
"AEPI","AEP Industries Inc.","57.13","$291.51M","1986","Capital Goods","Specialty Chemicals","http://www.nasdaq.com/symbol/aepi",
"AERI","Aerie Pharmaceuticals, Inc.","15.92","$409.02M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aeri",
"AVAV","AeroVironment, Inc.","24.38","$569.25M","2007","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/avav",
"AEZS","AEterna Zentaris Inc.","0.1011","$16.4M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aezs",
"AEMD","Aethlon Medical, Inc.","7.22","$54.95M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/aemd",
"AFMD","Affimed N.V.","9.78","$290.8M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/afmd",
"AFFX","Affymetrix, Inc.","9.4","$750.31M","1996","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/affx",
"AGEN","Agenus Inc.","7.04","$593.52M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/agen",
"AGRX","Agile Therapeutics, Inc.","8.17","$181.96M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agrx",
"AGYS","Agilysys, Inc.","9.63","$220.74M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/agys",
"AGIO","Agios Pharmaceuticals, Inc.","85.65","$3.21B","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agio",
"AGFS","AgroFresh Solutions, Inc.","9.74","$486.42M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","1.79","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/agfsw",
"AIMT","Aimmune Therapeutics, Inc.","21.1","$889.99M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aimt",
"AIRM","Air Methods Corporation","36.55","$1.44B","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/airm",
"AIRT","Air T, Inc.","22.1","$52.43M","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/airt",
"ATSG","Air Transport Services Group, Inc","9.1","$590.23M","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/atsg",
"AMCN","AirMedia Group Inc","4.9","$293.86M","2007","Technology","Advertising","http://www.nasdaq.com/symbol/amcn",
"AIXG","Aixtron SE","5.87","$661.56M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aixg",
"AKAM","Akamai Technologies, Inc.","68.04","$12.15B","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/akam",
"AKBA","Akebia Therapeutics, Inc.","6.65","$192.07M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akba",
"AKER","Akers Biosciences Inc","2.62","$13.48M","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/aker",
"AKRX","Akorn, Inc.","40.26","$4.61B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akrx",
"ALRM","Alarm.com Holdings, Inc.","16.46","$750.03M","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/alrm",
"ALSK","Alaska Communications Systems Group, Inc.","2.11","$106.34M","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/alsk",
"AMRI","Albany Molecular Research, Inc.","19.76","$700.55M","1999","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/amri",
"ABDC","Alcentra Capital Corp.","12.7","$171.66M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abdc",
"ADHD","Alcobra Ltd.","8.31","$175.99M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adhd",
"ALDR","Alder BioPharmaceuticals, Inc.","36.64","$1.59B","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aldr",
"ALDX","Aldeyra Therapeutics, Inc.","7.4101","$71.97M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aldx",
"ALXN","Alexion Pharmaceuticals, Inc.","173.81","$39.31B","1996","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alxn",
"ALXA","Alexza Pharmaceuticals, Inc.","1.07","$20.81M","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alxa",
"ALCO","Alico, Inc.","42.36","$350.8M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/alco",
"ALGN","Align Technology, Inc.","56.45","$4.52B","2001","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/algn",
"ALIM","Alimera Sciences, Inc.","3.14","$139.45M","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alim",
"ALKS","Alkermes plc","60.35","$9.02B","1991","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alks",
"ALGT","Allegiant Travel Company","216.09","$3.67B","2006","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/algt",
"ALLB","Alliance Bancorp, Inc. of Pennsylvania","23.31","$93.92M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/allb",
"AFOP","Alliance Fiber Optic Products, Inc.","17.51","$313.7M","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/afop",
"AIQ","Alliance HealthCare Services, Inc.","14.7","$158.03M","2001","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aiq",
"AHGP","Alliance Holdings GP, L.P.","36.68","$2.2B","2006","Energy","Coal Mining","http://www.nasdaq.com/symbol/ahgp",
"ARLP","Alliance Resource Partners, L.P.","24.62","$1.83B","1999","Energy","Coal Mining","http://www.nasdaq.com/symbol/arlp",
"AHPI","Allied Healthcare Products, Inc.","1.443","$11.58M","1992","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/ahpi",
"AMOT","Allied Motion Technologies, Inc.","17.09","$158.78M","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/amot",
"ALQA","Alliqua BioMedical, Inc.","4.43","$122.57M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/alqa",
"ALLT","Allot Communications Ltd.","5.04","$168.14M","2006","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/allt",
"MDRX","Allscripts Healthcare Solutions, Inc.","13.52","$2.55B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/mdrx",
"AFAM","Almost Family Inc","46.84","$459.97M","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/afam",
"ALNY","Alnylam Pharmaceuticals, Inc.","99.85","$8.45B","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alny",
"AOSL","Alpha and Omega Semiconductor Limited","7.21","$189.94M","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/aosl",
"SMCP","AlphaMark Actively Managed Small Cap ETF","22.56","$23.69M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/smcp",
"ATEC","Alphatec Holdings, Inc.","0.5768","$57.74M","2006","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atec",
"ALTR","Altera Corporation","48.17","$14.57B","1988","Technology","Semiconductors","http://www.nasdaq.com/symbol/altr",
"ASPS","Altisource Portfolio Solutions S.A.","29.26","$548.23M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/asps",
"AIMC","Altra Industrial Motion Corp.","25.28","$665.11M","2006","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aimc",
"AMAG","AMAG Pharmaceuticals, Inc.","59.95","$2.07B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amag",
"AMRN","Amarin Corporation PLC","2.03","$275.56M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amrn",
"AMRK","A-Mark Precious Metals, Inc.","10.59","$73.74M","n/a","Basic Industries","Other Specialty Stores","http://www.nasdaq.com/symbol/amrk",
"AYA","Amaya Inc.","21.65","$2.88B","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/aya",
"AMZN","Amazon.com, Inc.","494.47","$231.27B","1997","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/amzn",
"AMBC","Ambac Financial Group, Inc.","15.6","$702.32M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambc",
"AMBCW","Ambac Financial Group, Inc.","7.35","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambcw",
"AMBA","Ambarella, Inc.","89.76","$2.81B","2012","Technology","Semiconductors","http://www.nasdaq.com/symbol/amba",
"EPAX","Ambassadors Group, Inc.","2.69","$46.1M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/epax",
"AMCX","AMC Networks Inc.","67.72","$4.9B","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/amcx",
"DOX","Amdocs Limited","57.56","$8.85B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dox",
"AMDA","Amedica Corporation","0.463","$30.45M","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/amda",
"AMED","Amedisys Inc","40.5","$1.36B","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amed",
"UHAL","Amerco","363.52","$7.13B","n/a","Consumer Services","Rental/Leasing Companies","http://www.nasdaq.com/symbol/uhal",
"ASBI","Ameriana Bancorp","22.57","$68.39M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/asbi",
"ATAX","America First Multifamily Investors, L.P.","5.22","$314.52M","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/atax",
"AMOV","America Movil, S.A.B. de C.V.","17.64","$59.56B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amov",
"AAL","American Airlines Group, Inc.","39.75","$26.7B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/aal",
"AGNC","American Capital Agency Corp.","19.53","$6.81B","2008","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agnc",
"AGNCB","American Capital Agency Corp.","24.2","$8.44B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agncb",
"AGNCP","American Capital Agency Corp.","25.34","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agncp",
"MTGE","American Capital Mortgage Investment Corp.","15.7","$803.72M","2011","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mtge",
"MTGEP","American Capital Mortgage Investment Corp.","24.1101","$48.22M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mtgep",
"ACSF","American Capital Senior Floating, Ltd.","12.225","$122.25M","2014","n/a","n/a","http://www.nasdaq.com/symbol/acsf",
"ACAS","American Capital, Ltd.","13.69","$3.73B","1997","n/a","n/a","http://www.nasdaq.com/symbol/acas",
"ANCI","American Caresource Holdings Inc","1.568","$10.57M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/anci",
"AETI","American Electric Technologies, Inc.","4.03","$33.26M","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeti",
"AMIC","American Independence Corp.","10.01","$80.87M","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/amic",
"AMNB","American National Bankshares, Inc.","22.8","$198.28M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amnb",
"ANAT","American National Insurance Company","100","$2.69B","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/anat",
"APEI","American Public Education, Inc.","21.26","$352.36M","2007","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apei",
"ARII","American Railcar Industries, Inc.","38.75","$827.4M","2006","Capital Goods","Railroads","http://www.nasdaq.com/symbol/arii",
"AMRB","American River Bankshares","10","$75.7M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amrb",
"ASEI","American Science and Engineering, Inc.","39.68","$283.53M","n/a","Health Care","Medical Electronics","http://www.nasdaq.com/symbol/asei",
"AMSWA","American Software, Inc.","9.06","$259.26M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/amswa",
"AMSC","American Superconductor Corporation","3.48","$48.56M","1991","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/amsc",
"AMWD","American Woodmark Corporation","67.8","$1.1B","1986","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/amwd",
"CRMT","America&#39;s Car-Mart, Inc.","37.91","$322.75M","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/crmt",
"ABCB","Ameris Bancorp","27.64","$889.87M","1994","Finance","Major Banks","http://www.nasdaq.com/symbol/abcb",
"AMSF","AMERISAFE, Inc.","49.77","$946.12M","2005","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/amsf",
"ASRV","AmeriServ Financial Inc.","3.27","$61.71M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrv",
"ASRVP","AmeriServ Financial Inc.","27.5","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrvp",
"ATLO","Ames National Corporation","23.93","$222.81M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/atlo",
"AMGN","Amgen Inc.","155.19","$117.67B","1983","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/amgn",
"FOLD","Amicus Therapeutics, Inc.","14.05","$1.67B","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fold",
"AMKR","Amkor Technology, Inc.","4.39","$1.04B","1998","Technology","Semiconductors","http://www.nasdaq.com/symbol/amkr",
"AMPH","Amphastar Pharmaceuticals, Inc.","13.8","$625.66M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amph",
"AMSG","Amsurg Corp.","81.5","$3.95B","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amsg",
"AMSGP","Amsurg Corp.","155.14","$267.62M","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amsgp",
"ASYS","Amtech Systems, Inc.","5.18","$68.12M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asys",
"AFSI","AmTrust Financial Services, Inc.","58.44","$4.83B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afsi",
"AMRS","Amyris, Inc.","1.63","$256.74M","2010","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/amrs",
"ANAC","Anacor Pharmaceuticals, Inc.","130.01","$5.72B","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anac",
"ANAD","ANADIGICS, Inc.","0.333","$29.37M","1995","Technology","Semiconductors","http://www.nasdaq.com/symbol/anad",
"ADI","Analog Devices, Inc.","53.78","$16.87B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/adi",
"ALOG","Analogic Corporation","83.13","$1.03B","1972","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/alog",
"ANCB","Anchor Bancorp","22.3001","$56.87M","2011","Finance","Banks","http://www.nasdaq.com/symbol/ancb",
"ABCW","Anchor BanCorp Wisconsin Inc.","39.96","$383.69M","2014","Finance","Banks","http://www.nasdaq.com/symbol/abcw",
"AMCF","Andatee China Marine Fuel Services Corporation","0.27","$2.77M","2010","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/amcf",
"ANGI","Angie&#39;s List, Inc.","4.64","$271.52M","2011","Consumer Services","Advertising","http://www.nasdaq.com/symbol/angi",
"ANGO","AngioDynamics, Inc.","14.71","$530.58M","2004","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ango",
"ANIP","ANI Pharmaceuticals, Inc.","49.38","$566M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anip",
"ANIK","Anika Therapeutics Inc.","34.88","$510.37M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/anik",
"ANSS","ANSYS, Inc.","90.92","$8.2B","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/anss",
"ATRS","Antares Pharma, Inc.","1.81","$280.2M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atrs",
"ANTH","Anthera Pharmaceuticals, Inc.","7.04","$279.52M","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anth",
"ABAC","Aoxin Tianli Group, Inc.","0.738","$24.49M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/abac",
"ATNY","API Technologies Corp.","2.37","$131.36M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/atny",
"APIC","Apigee Corporation","6.49","$190.55M","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/apic",
"APOG","Apogee Enterprises, Inc.","51.6","$1.51B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/apog",
"APOL","Apollo Education Group, Inc.","10.98","$1.18B","1994","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apol",
"AINV","Apollo Investment Corporation","6.45","$1.53B","2004","n/a","n/a","http://www.nasdaq.com/symbol/ainv",
"APPF","AppFolio, Inc.","16.92","$567.26M","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/appf",
